STAID,STATE,FIPS,LAT_DMS , LON_DMS,WELLDPTH  ,SAMPDATE ,SAMPTIME,AS_RMRK,AS_CONC,LAT_DD,LON_DD
16S,2S,6N,6S,7S,10N,9S,5S,1S,10N,12N,12N
1.82544E+14,PR,72017,182542,663416,,19-Aug-86,1100,<,1,18.42833,66.57111
1.82605E+14,PR,72017,182605,663416,,15-May-91,945,<,1,18.43472,66.57111
1.75952E+14,PR,72113,175952,663426,72,29-Apr-87,1520,<,1,17.99778,66.57389
1.82605E+14,PR,72017,182605,663445,,28-Jan-87,1330,<,1,18.43472,66.57917
1.82558E+14,PR,72017,182558,663456,,14-Apr-86,1245,<,1,18.43278,66.58222
1.82641E+14,PR,72017,182641,663457,,23-Mar-84,1400,<,1,18.44473,66.5825
1.82503E+14,PR,72017,182503,663501,600,23-Mar-84,1200,.,1,18.4175,66.58361
1.75948E+14,PR,72113,175948,663511,130,22-Jun-82,1400,.,1,17.99667,66.58639
1.82556E+14,PR,72017,182556,663519,,18-Aug-89,930,.,2,18.43222,66.58861
1.82608E+14,PR,72017,182608,663525,,7-May-90,1415,<,1,18.43556,66.59028
1.82542E+14,PR,72013,182542,663532,,22-Sep-92,1100,<,1,18.42833,66.59222
1.82736E+14,PR,72017,182736,663558,68,23-Mar-84,1600,<,1,18.46,66.59944
1.82608E+14,PR,72013,182608,663559,,25-Jun-82,1010,.,1,18.43556,66.59972
1.8244E+14,PR,72013,182440,663603,700,23-Mar-84,1000,.,1,18.41111,66.60083
1.80021E+14,PR,72113,180021,663635,,19-May-87,1100,<,1,18.00583,66.60973
1.80224E+14,PR,72113,180224,663642,,15-Dec-82,1015,<,1,18.04,66.61166
1.7593E+14,PR,72113,175930,663702,185,23-Jun-82,1640,.,1,17.99166,66.61723
1.80032E+14,PR,72113,180032,663845,,20-May-87,1015,<,1,18.00889,66.64584
1.82724E+14,PR,72013,182724,663920,,27-Mar-84,1100,<,1,18.45667,66.65556
1.82728E+14,PR,72009,182728,663940,,27-Mar-84,1400,<,1,18.45778,66.66111
1.82626E+14,PR,72013,182626,664108,100,30-Jun-82,1215,<,1,18.44056,66.68555
1.82435E+14,PR,72013,182435,664145,,1-Dec-82,1115,.,1,18.40972,66.69583
1.82531E+14,PR,72013,182531,664635,,8-Feb-86,1545,<,1,18.42528,66.77639
1.8241E+14,PR,72027,182410,664743,,7-Dec-82,1200,.,1,18.40278,66.79528
1.82359E+14,PR,72065,182359,664816,,7-Dec-82,1030,.,1,18.39973,66.80444
1.82757E+14,PR,72065,182757,664926,,4-Sep-86,1415,<,1,18.46583,66.82389
1.82344E+14,PR,72027,182345,665345,,14-Dec-82,1130,.,1,18.39584,66.89584
1.82006E+14,PR,72065,182006,665646,,1-Dec-82,1520,.,1,18.335,66.94611
1.80543E+14,PR,72121,180543,665650,,2-Dec-82,1220,.,3,18.09528,66.94722
1.82521E+14,PR,72099,182521,670209,200,24-Mar-84,1100,.,1,18.4225,67.03584
1.82805E+14,PR,72071,182805,670258,,10-Nov-86,1130,<,1,18.46806,67.04945
1.82919E+14,PR,72071,182919,670313,1700,22-Apr-87,1425,.,1,18.48861,67.05361
1.82602E+14,PR,72005,182602,670916,,2-Dec-82,800,.,1,18.43389,67.15444
1.80524E+14,PR,72023,180524,670920,,26-Mar-86,1345,.,4,18.09,67.15556
4.4423E+14,ME,23029,444230,674811,13,28-Oct-80,1030,.,1,44.70833,67.80305
4.44242E+14,ME,23029,444242,674855,16,21-Oct-80,1330,.,1,44.71167,67.81527
4.44242E+14,ME,23029,444242,674855,28,6-May-81,1100,.,1,44.71167,67.81527
4.44157E+14,ME,23029,444157,674858,4,28-Oct-80,1530,.,1,44.69917,67.81611
4.44214E+14,ME,23029,444214,674936,6,30-Oct-80,1030,.,1,44.70389,67.82666
4.44214E+14,ME,23029,444214,674936,13,7-May-81,1450,.,2,44.70389,67.82666
4.44326E+14,ME,23029,444326,675001,6,29-Oct-80,1045,.,1,44.72389,67.83361
4.44326E+14,ME,23029,444326,675001,21,29-Oct-80,1045,.,1,44.72389,67.83361
4.44346E+14,ME,23029,444346,675002,21,29-Oct-80,1400,.,1,44.72944,67.83389
4.44239E+14,ME,23029,444239,675005,10,30-Oct-80,1230,.,1,44.71083,67.83472
4.44239E+14,ME,23029,444239,675005,10,7-May-81,1615,.,24,44.71083,67.83472
4.44316E+14,ME,23029,444316,675050,15,23-Oct-80,1530,.,2,44.72111,67.84722
4.44316E+14,ME,23029,444316,675050,23,7-May-81,1105,.,4,44.72111,67.84722
1.80344E+14,PR,72097,180344,675423,,24-May-92,1100,.,65,18.06222,67.90639
1.80444E+14,PR,72097,180444,675559,,24-May-92,1700,<,1,18.07889,67.93305
1.80516E+14,PR,72097,180516,675620,,22-May-92,1500,.,1,18.08778,67.93889
1.80516E+14,PR,72097,180516,675623,,25-May-92,1100,<,1,18.08778,67.93972
4.44408E+14,ME,23029,444408,680208,12.4,4-Jun-81,720,.,6,44.73555,68.03555
4.44415E+14,ME,23029,444415,680221,5.2,3-Jun-81,1600,.,1,44.7375,68.03917
4.44415E+14,ME,23029,444415,680221,12.4,3-Jun-81,1600,.,7,44.7375,68.03917
4.4441E+14,ME,23029,444410,680242,10.8,3-Jun-81,1430,.,8,44.73611,68.045
4.44401E+14,ME,23009,444401,680338,3.6,3-Jun-81,1130,.,1,44.73361,68.06055
4.4441E+14,ME,23009,444410,680338,5,3-Jun-81,830,.,1,44.73611,68.06055
4.44401E+14,ME,23009,444401,680338,12.4,3-Jun-81,1130,.,1,44.73361,68.06055
4.4441E+14,ME,23009,444410,680338,15,3-Jun-81,830,.,1,44.73611,68.06055
4.4441E+14,ME,23009,444410,680338,19,3-Jun-81,830,.,3,44.73611,68.06055
4.44401E+14,ME,23009,444401,680338,19.6,3-Jun-81,1130,.,5,44.73361,68.06055
4.1375E+14,MA,25001,413750,703235,26.1,12-May-88,1500,.,1,41.63055,70.54305
4.1375E+14,MA,25001,413750,703235,53.8,12-May-88,1430,.,1,41.63055,70.54305
4.1375E+14,MA,25001,413750,703235,71.9,12-May-88,1345,.,1,41.63055,70.54305
